name,BIN
LS_brn_L930,MOTU_ADB0463
LS_brn_L931,MOTU_ADB0463
LS_brn_L932,MOTU_ADB0463
LS_con_L210,MOTU_ACL3731
LS_con_L211,MOTU_ACL3731
LS_con_L286,MOTU_ACL4264
LS_con_L291,MOTU_ACL4264
LS_con_L292,MOTU_ACL4264
LS_con_L820,MOTU_ACL4264
LS_elo_L1041,MOTU_ABY2894
LS_elo_L1046,MOTU_ABY2894
LS_elo_L1047,MOTU_ABY2894
LS_elo_L287,MOTU_ABY2894
LS_elo_L300,MOTU_ABY2894
LS_elo_L305,MOTU_ABY2894
LS_elo_L307,MOTU_ABY2894
LS_elo_L308,MOTU_ABY2894
LS_elo_L309,MOTU_ABY2894
LS_gar_L293,MOTU_ACL3227
LS_gar_L294,MOTU_ACL3227
LS_gar_L295,MOTU_ACL3227
LS_gar_L296,MOTU_ACL3227
LS_gar_L298,MOTU_ACL3227
LS_mac_B061,MOTU_ACO1303
LS_mac_B082,MOTU_AAE5328
LS_mac_B086,MOTU_ACO1303
LS_mac_B087,MOTU_ACO1303
LS_mac_B088,MOTU_ACO1303
LS_mac_B089,MOTU_ACO1303
LS_mac_L083,MOTU_AAE5328
LS_mac_L085,MOTU_AAE5328
LS_mac_L178,MOTU_AAE5328
LS_mac_L212,MOTU_AAE5328
LS_mac_L225,MOTU_AAE5328
LS_mac_L290,MOTU_AAE5328
LS_mac_L890,MOTU_AAE5328
LS_mac_L891,MOTU_AAE5328
LS_muy_L907,MOTU_ADB0512
LS_muy_L913,MOTU_ADB0701
LS_muy_L914,MOTU_ADB0701
LS_muy_L915,MOTU_ADB0701
LS_obt_B031,MOTU_ABZ0928
LS_obt_B070,MOTU_ABZ0928
LS_obt_B071,MOTU_ABZ0928
LS_obt_B074,MOTU_AAB8578
LS_obt_B075,MOTU_AAB8578
LS_obt_B077,MOTU_AAB8578
LS_obt_B090,MOTU_ABZ0928
LS_obt_B100,MOTU_AAB8578
LS_obt_B101,MOTU_AAB8578
LS_obt_B102,MOTU_AAB8578
LS_obt_B103,MOTU_AAB8578
LS_obt_L004,MOTU_AAB8578
LS_obt_L007,MOTU_AAB8578
LS_obt_L008,MOTU_AAB8578
LS_obt_L009,MOTU_AAB8578
LS_obt_L013,MOTU_AAB8578
LS_obt_L016,MOTU_AAB8578
LS_obt_L084,MOTU_ACL3942
LS_obt_L253,MOTU_ABZ0928
LS_obt_L266,MOTU_ABZ0928
LS_obt_L267,MOTU_ABZ0928
LS_obt_L268,MOTU_ABZ0928
LS_obt_L269,MOTU_ABZ0928
LS_obt_L282,MOTU_AAB8578
LS_obt_L283,MOTU_AAB8578
LS_obt_L314,MOTU_ABZ0928
LS_obt_L315,MOTU_ABZ0928
LS_obt_L316,MOTU_ABZ0928
LS_obt_L320,MOTU_ABZ0928
LS_obt_L547,MOTU_AAB8578
LS_obt_L548,MOTU_AAB8578
LS_piv_B060,MOTU_AAB8569
LS_piv_B076,MOTU_AAB8569
LS_piv_B078,MOTU_AAB8569
LS_piv_B093,MOTU_AAB8569
LS_piv_B094,MOTU_AAB8569
LS_piv_B095,MOTU_AAB8569
LS_piv_B096,MOTU_AAB8569
LS_piv_B097,MOTU_AAB8569
LS_piv_B098,MOTU_AAB8569
LS_piv_B099,MOTU_AAB8569
LS_piv_B140,MOTU_AAB8569
LS_piv_B141,MOTU_AAB8569
LS_piv_B142,MOTU_AAB8569
LS_piv_B144,MOTU_AAB8569
LS_piv_L002,MOTU_AAB8569
LS_piv_L003,MOTU_AAB8569
LS_piv_L005,MOTU_AAB8569
LS_piv_L006,MOTU_AAB8569
LS_piv_L010,MOTU_AAB8569
LS_piv_L011,MOTU_AAB8569
LS_piv_L014,MOTU_AAB8569
LS_piv_L284,MOTU_AAB8569
LS_piv_L371,MOTU_AAB8569
LS_rei_B072,MOTU_AAD1729
LS_rei_B073,MOTU_AAD1729
LS_rei_L338,MOTU_AAD1729
LS_rei_L339,MOTU_AAD1729
LS_rei_L341,MOTU_AAD1729
LS_rei_L342,MOTU_AAD1729
LS_rei_L343,MOTU_AAD1729
LS_rei_L353,MOTU_AAD1729
LS_rei_L355,MOTU_AAD1729
LS_rei_L773,MOTU_AAD1729
LS_rei_L777,MOTU_AAD1729
LS_rei_L778,MOTU_AAD1729
LS_rei_L779,MOTU_AAD1729
LS_tri_L179,MOTU_ACL3074
LS_tri_L180,MOTU_ACL3074
LS_tri_L182,MOTU_ACL3074
LS_tri_L519,MOTU_ACL3073
LS_tri_L618,MOTU_ACL3073
LS_tri_L621,MOTU_ACL3073
LS_tri_L690,MOTU_ACL3073
LS_tri_L955,MOTU_ACL3073